unique_id,model,transformation,smape,mase,cluster
M10000,Naive,identity,18.99415450273837,0.4992300288739172,0
M10000,SeasonalNaive,identity,12.923257075998789,0.3194096888033365,0
M10000,AutoTheta,identity,18.133939716915734,0.4669435360783624,0
M10000,AutoETS,identity,18.99420130450677,0.49923149094115055,0
M10756,Naive,identity,7.182652686369117,3.607238330248818,0
M10756,SeasonalNaive,identity,0.8464081286612181,0.42319555829734734,0
M10756,AutoTheta,identity,1.4291553593204775,0.7253855959660396,0
M10756,AutoETS,identity,1.4190448775764188,0.7087337376117075,0
M10766,Naive,identity,3.2690418047289462,1.0787373375626705,0
M10766,SeasonalNaive,identity,4.841511996909437,1.577347453869504,0
M10766,AutoTheta,identity,2.4165323755317667,0.8025557745678538,0
M10766,AutoETS,identity,3.306654598305339,1.0908355905578657,0
M10885,Naive,identity,2.990605413300831,0.7447470817120623,0
M10885,SeasonalNaive,identity,3.167615896676855,0.7898832684824902,0
M10885,AutoTheta,identity,2.400864016545691,0.5957841569026808,0
M10885,AutoETS,identity,3.0454609143267977,0.7586846764472522,0
M11278,Naive,identity,3.0080596475202204,1.0450991760220663,0
M11278,SeasonalNaive,identity,4.510870900895721,1.5452660798678823,0
M11278,AutoTheta,identity,0.9828167408390798,0.3440127872698303,0
M11278,AutoETS,identity,2.0324545412017576,0.7069041735778501,0
M11531,Naive,identity,1.491092390293974,1.1276802140826223,0
M11531,SeasonalNaive,identity,1.63174739610632,1.2243853487205216,0
M11531,AutoTheta,identity,0.8211064793947257,0.6210759139722101,0
M11531,AutoETS,identity,1.0887592634051213,0.8205733786504653,0
M12187,Naive,identity,1.4035405317014285,0.4336489639083299,1
M12187,SeasonalNaive,identity,2.3799755482928022,0.728008782763826,1
M12187,AutoTheta,identity,1.61389393242554,0.4987636521476734,1
M12187,AutoETS,identity,1.463146808428453,0.45200114806596026,1
M12226,Naive,identity,1.4837175561183005,0.7322695035460993,0
M12226,SeasonalNaive,identity,1.253321998933258,0.6081560283687943,0
M12226,AutoTheta,identity,1.227408842360999,0.5984905633007536,0
M12226,AutoETS,identity,1.5079775589928224,0.7343855211687904,0
M12319,Naive,identity,1.7566726542122606,0.5611598440545809,0
M12319,SeasonalNaive,identity,1.643775324889362,0.5253411306042884,0
M12319,AutoTheta,identity,1.9781056212493888,0.6312489391665346,0
M12319,AutoETS,identity,1.756695173164133,0.5611670074391558,0
M12437,Naive,identity,5.621208045022192,2.47715911049819,0
M12437,SeasonalNaive,identity,6.253876621243483,2.7314256162730564,0
M12437,AutoTheta,identity,5.129713682757942,2.266948604392818,0
M12437,AutoETS,identity,5.185114969353741,2.2907082199909867,0
M12517,Naive,identity,1.8580263451933494,0.4155293156876118,0
M12517,SeasonalNaive,identity,1.2869799043235286,0.28827652171967444,0
M12517,AutoTheta,identity,2.5653061097682825,0.5821491243434221,0
M12517,AutoETS,identity,2.558632325948521,0.5776653062440162,0
M12575,Naive,identity,1.9641908688241911,1.070472163495419,0
M12575,SeasonalNaive,identity,2.0191121777774925,1.1050035236081748,0
M12575,AutoTheta,identity,1.7280471832045965,0.9454253036058483,0
M12575,AutoETS,identity,1.1799185888849326,0.6430240103220941,0
M12676,Naive,identity,1.5943165112095112,1.1777910210568137,0
M12676,SeasonalNaive,identity,0.7858978080759675,0.5840286054827175,0
M12676,AutoTheta,identity,0.8593493825758749,0.6397126307147347,0
M12676,AutoETS,identity,0.601562374756948,0.4466718700876355,0
M1285,Naive,identity,2.736149988377216,0.805894001946766,0
M1285,SeasonalNaive,identity,2.1837933698974727,0.6414258382841608,0
M1285,AutoTheta,identity,1.7255665948002084,0.5052050141085479,0
M1285,AutoETS,identity,2.531910043363827,0.7448799900800698,0
M13037,Naive,identity,1.31480344319612,0.2426605379080139,0
M13037,SeasonalNaive,identity,3.413793871039033,0.6234096692111959,0
M13037,AutoTheta,identity,1.7627889884091343,0.32362950922080674,0
M13037,AutoETS,identity,1.1523603989539049,0.21307874547751626,0
M13410,Naive,identity,4.740149447883437,1.2590788594581779,0
M13410,SeasonalNaive,identity,3.862811751580781,1.0235403780253878,0
M13410,AutoTheta,identity,1.677875744612274,0.4551723531997215,0
M13410,AutoETS,identity,2.3378391795029105,0.6305682153150186,0
M13525,Naive,identity,16.470177058915002,0.3242724962845774,0
M13525,SeasonalNaive,identity,32.07880736601885,0.5553877622768749,0
M13525,AutoTheta,identity,37.74845017546461,0.6607028556502502,0
M13525,AutoETS,identity,16.469504925035682,0.3242599816417718,0
M14346,Naive,identity,6.482902093351299,0.45725932149151016,0
M14346,SeasonalNaive,identity,8.232017752328538,0.575318057005736,0
M14346,AutoTheta,identity,6.442020400175965,0.4543079136251745,0
M14346,AutoETS,identity,8.299661314312546,0.5933587399494047,0
M14570,Naive,identity,18.478863006292794,5.711780338043048,0
M14570,SeasonalNaive,identity,3.6262507607583414,0.9446883665654299,0
M14570,AutoTheta,identity,8.561622599528246,2.669699517161919,0
M14570,AutoETS,identity,2.592927309664271,0.7405547794136312,0
M15094,Naive,identity,16.134926252566174,4.337462303944229,0
M15094,SeasonalNaive,identity,5.128756720557641,1.3884983574382437,0
M15094,AutoTheta,identity,3.63542517529757,0.9749669653231635,0
M15094,AutoETS,identity,3.9042389058068476,1.058286790142353,0
M15185,Naive,identity,4.097211503674222,0.6920006585937475,0
M15185,SeasonalNaive,identity,3.5452690058751344,0.6016321419475338,0
M15185,AutoTheta,identity,3.502966148813809,0.5932759027089497,0
M15185,AutoETS,identity,4.300491098273067,0.7256557808201721,0
M15704,Naive,identity,23.18405052154914,4.176851280916167,0
M15704,SeasonalNaive,identity,5.323381698911836,1.046440786942613,0
M15704,AutoTheta,identity,7.662903986949213,1.7493614378503168,0
M15704,AutoETS,identity,8.992651937115035,1.9191018054343882,0
M15759,Naive,identity,15.56193179709409,1.1959663852532734,0
M15759,SeasonalNaive,identity,16.104119609740817,1.226687556132183,0
M15759,AutoTheta,identity,15.459934622942345,1.190318757482979,0
M15759,AutoETS,identity,15.528327658384756,1.19430269683778,0
M15984,Naive,identity,1.6046263393307738,0.2873277412427807,0
M15984,SeasonalNaive,identity,12.523441548028206,2.422494545834779,0
M15984,AutoTheta,identity,3.0910910521434807,0.5524557458223294,0
M15984,AutoETS,identity,2.4303365690857017,0.43564448826371,0
M16153,Naive,identity,6.303018930180658,1.0873521445914205,0
M16153,SeasonalNaive,identity,9.422139449719044,1.5841534378229998,0
M16153,AutoTheta,identity,5.943656420397547,1.0280779551575223,0
M16153,AutoETS,identity,6.342623650855045,1.0937942670885037,0
M16472,Naive,identity,7.130963855766679,0.9165197485690505,0
M16472,SeasonalNaive,identity,9.96878986580558,1.262801974711852,0
M16472,AutoTheta,identity,7.579795499287996,0.975791356469952,0
M16472,AutoETS,identity,7.0251861153496105,0.9027349578312608,0
M1681,Naive,identity,0.8318795203326146,0.2466073514873731,0
M1681,SeasonalNaive,identity,1.052462807128302,0.31119499116263744,0
M1681,AutoTheta,identity,3.2787174708425773,0.9548461322436967,0
M1681,AutoETS,identity,0.8318835002280416,0.24660852516231135,0
M17466,Naive,identity,35.14407478996648,0.4091386554621849,0
M17466,SeasonalNaive,identity,36.522243912128104,0.435749299719888,0
M17466,AutoTheta,identity,25.574663280777976,0.2822085969372603,0
M17466,AutoETS,identity,33.04441361986656,0.37743166055694277,0
M17782,Naive,identity,46.90281258158789,1.080568720379147,0
M17782,SeasonalNaive,identity,51.03676430744041,1.232315253642268,0
M17782,AutoTheta,identity,18.49587799798477,0.3482521315873719,0
M17782,AutoETS,identity,46.902530842914935,1.080559717740886,0
M17852,Naive,identity,20.368636046278553,0.4640945969273261,0
M17852,SeasonalNaive,identity,13.532460304598859,0.2968237528051096,0
M17852,AutoTheta,identity,7.896390585747737,0.16969745722289942,0
M17852,AutoETS,identity,18.91108358278406,0.42642692715811986,0
M18152,Naive,identity,30.0118527614341,0.9749063670411985,0
M18152,SeasonalNaive,identity,13.639491668908555,0.41629213483146066,0
M18152,AutoTheta,identity,13.12209443315115,0.396120253011381,0
M18152,AutoETS,identity,30.012348624949965,0.9749255798838307,0
M1820,Naive,identity,3.7989495761655014,2.51937984496124,0
M1820,SeasonalNaive,identity,2.3596064373220353,1.565891472868217,0
M1820,AutoTheta,identity,1.3096891813568259,0.8673926858768986,0
M1820,AutoETS,identity,1.1794347864166148,0.7795541595024538,0
M1914,Naive,identity,38.88304443284597,1.3227111785533638,1
M1914,SeasonalNaive,identity,42.01171505932391,1.3793626707132018,1
M1914,AutoTheta,identity,31.45733401744062,1.1267213626695005,1
M1914,AutoETS,identity,28.93949277371199,1.0605993581540374,1
M1935,Naive,identity,1.4051006735778744,0.7777777777777778,0
M1935,SeasonalNaive,identity,4.257082041561079,2.298507462686567,0
M1935,AutoTheta,identity,1.1063801814098717,0.6182579060495448,0
M1935,AutoETS,identity,1.2459767433299647,0.7036221052467675,0
M19378,Naive,identity,19.85988040110375,0.4374850870913863,0
M19378,SeasonalNaive,identity,18.8949969367748,0.41481746599856834,0
M19378,AutoTheta,identity,25.642747796232722,0.559264379823257,0
M19378,AutoETS,identity,19.85707897394414,0.4374850870913863,0
M19399,Naive,identity,9.685686425046962,0.6063829787234042,0
